SERVICEAUFTRAG;POSITION;ARTIKEL;NAME;MENGE
2003983;1;K04867;"Extruderschweißgerät; MAK-40-D, 230 V, mN";1
2003983;2;K04468;"Schaltgehäuse-Unterteil; K - Regler";1
2003983;3;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2003983;4;K05924;"Reparatur, Regler; für Gebläse u. Heizung, Typ K";1
2003983;5;K03068;"Druckhebel 2/1-1/R; MA/E-40 u. 60";1
2003983;6;K03701;"Axialrillenkugellager; 51305";1
2003983;7;K03702;"Rillenkugellager; 6005 2RS C3 FT150";1
2003983;8;K04172;"Öl; 80ml";1
2003983;9;K03336;"Frontfolie 06; für K-Regler";1
2003983;10;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2003983;11;KK002;Arbeitslohn;3
2003984;1;K04682;"Extruderschweißgerät; MAK-36-B, 230 V, mN, P";1
2003984;2;K04232;"Elektronikeinheit; 230V, MEG-23";1
2003984;3;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2003984;4;K03068;"Druckhebel 2/1-1/R; MA/E-40 u. 60";1
2003984;5;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2003984;6;K04172;"Öl; 80ml";1
2003984;7;K02432;"Schutzkappe für Schutzschalter EBM13;";1
2003984;8;KK002;Arbeitslohn;3
2003988;1;K03969B;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2003990;1;K03969;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2003990;2;K03879;"Extruderschnecke; MM";1
2003990;3;K05539;"Einzugshülse V; MM";1
2003990;4;K05538;"Schneidkopf 18-9; MM";1
2003990;5;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";1
2003990;6;K02669;"Axialrillenkugellager; 51203";1
2003990;7;K03890;"Antriebseinheit; 40 / 42 MM";1
2003990;8;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2003990;9;K04737;"Gummi-Metall-Element; T-Flex Q4";4
2003990;10;KK002;Arbeitslohn;2,5
2003990;11;KK002;Arbeitslohn;1
2003993;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2003993;2;K05131;Anker UX1 230V;1
2003993;3;K05148;"Vorlegerad;UX1";1
2003993;4;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2003993;5;K03636;"O-Ring; 62 x 2";1
2003993;6;K06972;"Rillenkugellager + Lagerhülse; montiert";1
2003993;7;K03832;"Rillenkugellager; 608 BRS";1
2003993;8;K03852;"Rillenkugellager; 6000-2BRS C3";1
2003993;9;K03588;"Sicherungsring; SW 10";1
2003993;10;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2003993;11;K04886A;"Kohlebürste UX1; 2412";2
2003993;12;K04172;"Öl; 80ml";1
2003993;13;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2003993;14;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2003993;15;K02669;"Axialrillenkugellager; 51203";1
2003993;16;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2003993;17;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2003993;18;KK002;Arbeitslohn;2
2003994;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
