Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04361;"Rillenkugellager; 6003 2RS C3 FT150";374.0;0.62
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02669;"Axialrillenkugellager; 51203";377.0;0.63
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02965;"Dichtring; MA/E-25 u. 25-S";329.0;0.55
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";134.0;0.22
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04232;"Elektronikeinheit; 230V, MEG-23";227.0;0.38
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";253.0;0.42
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04886A;"Kohlebürste UX1; 2412";855.0;1.43
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";44.0;0.07
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04172;"Öl; 80ml";387.0;0.65
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04785;"Kabelklammer, Polyethylen; Größe 4";419.0;0.7
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03831;"Rillenkugellager; 6000 BRS";288.0;0.48
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03832;"Rillenkugellager; 608 BRS";566.0;0.94
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03839;"Sicherungsring; A14";281.0;0.47
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03636;"O-Ring; 62 x 2";294.0;0.49
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03852;"Rillenkugellager; 6000-2BRS C3";292.0;0.49
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03638;"Wellendichtring; 10x19x7 Viton, Form A";297.0;0.5
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03588;"Sicherungsring; SW 10";281.0;0.47
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K06972;"Rillenkugellager + Lagerhülse; montiert";297.0;0.5
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";872.0;1.46
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03635;"Wellendichtring; 25x42x7 - BA";281.0;0.47
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05131;Anker UX1 230V;270.0;0.45
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02696;"Vorwärmdüse 20; MA/E-25 u. 25-S ,UkR,SkR, MAK18/25";67.0;0.11
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03035;"Sicherungsring; H 16";43.0;0.07
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05574;"Flansch;";113.0;0.19
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04416;"Griffschale - links; Antrieb UX1";19.0;0.03
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04417;"Griffschale - rechts; Antrieb UX1";15.0;0.03
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02603;"Rohrheizpatrone; 21x31x 58, 230V, 400W";72.0;0.12
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02689;"Kabel vorkonfektioniert; 230V 3x2,5mm² 7m lg.";97.0;0.16
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05111;"Geräteschalter UX1; ohne Drehzahlregelung";10.0;0.02
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03769;"Motorgehäuse 301500_UX1; Antrieb DB, UX1";65.0;0.11
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04429;"Distanzhülse; 18 bei Berührschutz";97.0;0.16
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05156;"Bürstenhalter;   UX1";51.0;0.09
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02438;Compensating shim washer UX1/EBM13 800266;3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03847;Bearing disc;10.0;0.02
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03849;Needle bearing;5.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05151;"Intermediate cover; UX1";7.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05154;Field coil UX1 230V;23.0;0.04
