Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04110;"Geräteschalter MINI; ohne Drehzahlregelung";167.0;0.14
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";929.0;0.78
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05538;"Schneidkopf 18-9; MM";437.0;0.37
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05539;"Einzugshülse V; MM";428.0;0.36
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04945;"Lüftereinheit Antrieb; vormontiert";156.0;0.13
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03894;"Axiallüfter; 40 x 40 x 25                MM";124.0;0.1
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06058;"Lüfterabdeckung mit Filter ;  MM";147.0;0.12
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04135;"Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM";274.0;0.23
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K02669;"Axialrillenkugellager; 51203";607.0;0.51
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04361;"Rillenkugellager; 6003 2RS C3 FT150";353.0;0.3
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03879;"Extruderschnecke; MM";3.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03960;"Nilos-Ring; 6003 Z AV                   MM";106.0;0.09
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05202;"Controller MM; Repair";254.0;0.21
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04946;Fan guard, controller  MM;36.0;0.03
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04808B;Temperature control 230 V / 250W   MM;95.0;0.08
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04318;Heating complete, 230 V / 2300 W;192.0;0.16
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03883;Nozzle 40-6                        MM;68.0;0.06
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04737;Rubber connector;1120.0;0.94
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03889;"Heizspirale; 18x125                      MM";123.0;0.1
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03482;"Senkschraube; DIN 7991, M 4 x  12";383.0;0.32
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06725;Extruder screw MM;145.0;0.12
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03890;"Drive unit; 40 / 42 MM";163.0;0.14
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03882B;"Schmelzkammer; MM";29.0;0.02
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04137;"Knickschutztülle 9-11; 5200 2020    MM";30.0;0.03
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05540;"Einzugshülse V; MM";62.0;0.05
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";51.0;0.04
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04310;"Kabelsatz; MM-Xtruder";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04259;"Frontfolie Display; für Regler  MM";227.0;0.19
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04258;"Frontfolie; Tasten für Regler MM";97.0;0.08
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04719;"Schaltgehäuse-Unterteil; Schwarz mit feiner Struktur MM";43.0;0.04
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03892;"Griffschale - links; Spritzgussteil         MM";167.0;0.14
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03893;"Griffschale - rechts; Spritzgussteil              MM";44.0;0.04
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06761;"Aufkleber; Abkühlzeit Deutsch-Englisch";64.0;0.05
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06117;"Schweißschuh MM; 67.0120FF-32-20-M";8.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03886;"Berührschutz       Heizspirale; MM";10.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04253;"Isolierfolie zu MM-Xtruder; 0,25mm";9.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04943;"Cable vorkonfektioniert; 1² - 27cm, grün/gelb";6.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K02698;"Distanzring; 17/3           MA/E-25 u. 25-S / MAK-18";14.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06088;Extruder body MM;13.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04786;"Schaltgehäuse-Deckel; eloxiert, mN     MM";29.0;0.02
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06040;"Distanzhülse; Id4,3 x Ad8 x 7, Ms";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06039;"Distanzhülse; Id4,3 x Ad8 x 7, Ms";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03586;"Erdungskabel komp.; WX2Mu, UX1";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04944;"Kabel vorkonfektioniert; 1² - 29cm, grün/gelb";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03906;"Berührschutz, Vorwärmung; Spritzgussteil   MM";14.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04736;"Kabeltülle; A10 - D2";7.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04407;"Schweißschuhhalter MM; 32 x 15";9.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04457;Schweißschuh MM, 67.01xx, m Halter,  Ø32 x Ø20 x 36 mm unbearb.;12.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05999;Circlip A   17 x 1;154.0;0.13
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05344;"Schweißschuh MM; 67.0107K-32-20-M";20.0;0.02
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05345;"Schweißschuh MM; 67.0106K-32-20-M";5.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K01540;Lead wire 230 V 3G1,5                  Pico;12.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04722;Holder, motor fan, MM;2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05924;"Electronic board ,  Type K ; Repair";6.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05591COV;"Extruderschweißg.  MM-Xtruder OV; 230 V, mN";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04717;"Eigenluftführung; 10°   MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05172;"Antiverdrall - Vorrichtung;";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03881;"Antriebsflansch; MM";4.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06044;"Heizspirale; 18x165                      MM";4.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07286;"Halter-Motorlüfter; MM, 30mm";820.0;0.69
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07287;"Runddichtring; 55  x 3";435.0;0.36
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K02965;"Dichtring; MA/E-25 u. 25-S";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03421;"Schweißdrahtrollen-Abwickler; Einfach, für 3kg Spule";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05347;"Schweißschuh MM; 67.0120F-32-20-M (R15x1,9mm)";6.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04200;"Warmlufthaube; MM-Xtruder          MAK18S;  MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K05258;Werkzeug-Set;2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07311;"Lüftereinheit Antrieb MM; vormontiert";400.0;0.34
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07292;"Axiallüfter; 40 x 40 x 28 MM";71.0;0.06
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07310;"Flachkopfschraube; M4x8 -10.9 TX, GEFU";9.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07314;"Lüftereinheit mit Luftfilter MM; vormontiert";252.0;0.21
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03898;"Vorwärmdüse 18 x 4; MM";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07312;"Lüftereinheit Regler MM; vormontiert";20.0;0.02
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K07291;"Linsenschraube; M4x8 -10.9 TX, ISO 7380";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04444;"Heat controller; Type H, A-S-18; 230V";4.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04153;"Transportkiste      MM-Xtruder; MM";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04213;"Vorwärmdüse 10 x 4; MM";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K06087;"Extruderschnecke; MM";2.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04955;Warmlufthaube D40/2;1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04244;"Drive Unit, 120V; Preheating                MM";8.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K03114;"Klemmring; MA/E-25 u. 25-S";4.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04886A;"Kohlebürste UX1; 2412";10.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04319;"Heating complete; 120 V / 1600 W";3.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04739;"terminal strip; 4,0-6,0²";8.0;0.01
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04724;"Welding shoe MM, with holder ; dia 32  x 36 mm shaped";1.0;0.0
01.01.2012;01.02.2025;MM;1192;5646.5;4.74;2.76;K04292;"Vorwärmdüse 12 x 4 / kurz; MM";1.0;0.0
