antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction;zhangs_metric
frozenset({'K04172'});frozenset({'K04886A'});0.6460767946577629;0.671118530884808;0.5959933222036727;0.9224806201550387;1.3745420185892243;0.16239921293418913;4.242570951585975;0.7698985254479149
frozenset({'K04886A'});frozenset({'K04172'});0.671118530884808;0.6460767946577629;0.5959933222036727;0.8880597014925372;1.3745420185892243;0.16239921293418913;3.1617139677239816;0.828520240583543
frozenset({'K02669', 'K04172'});frozenset({'K04886A'});0.5475792988313857;0.671118530884808;0.5175292153589316;0.9451219512195123;1.4082787283096714;0.15003860078427878;5.99295121498795;0.6408046661111774
frozenset({'K02669', 'K04886A'});frozenset({'K04172'});0.5492487479131887;0.6460767946577629;0.5175292153589316;0.9422492401215806;1.4584167825137644;0.16267234483738902;6.128459713557692;0.697335722819594
frozenset({'K04172'});frozenset({'K02669', 'K04886A'});0.6460767946577629;0.5492487479131887;0.5175292153589316;0.8010335917312662;1.4584167825137642;0.16267234483738902;2.2654640851635848;0.8881162507608035
frozenset({'K04886A'});frozenset({'K02669', 'K04172'});0.671118530884808;0.5475792988313857;0.5175292153589316;0.7711442786069652;1.4082787283096712;0.15003860078427878;1.976881759454163;0.8815130178483708
frozenset({'K04361', 'K04172'});frozenset({'K04886A'});0.5442404006677797;0.671118530884808;0.5141903171953256;0.9447852760736196;1.407777065592284;0.14894049905100604;5.956408829530698;0.6355549212692072
frozenset({'K04361', 'K04886A'});frozenset({'K04172'});0.5442404006677797;0.6460767946577629;0.5141903171953256;0.9447852760736196;1.4623420681346206;0.1625692236086299;6.409942496753848;0.6937110508539082
frozenset({'K04172'});frozenset({'K04361', 'K04886A'});0.6460767946577629;0.5442404006677797;0.5141903171953256;0.7958656330749355;1.4623420681346206;0.1625692236086299;2.2326451258426503;0.8933165890713062
frozenset({'K04886A'});frozenset({'K04361', 'K04172'});0.671118530884808;0.5442404006677797;0.5141903171953256;0.7661691542288558;1.4077770655922839;0.14894049905100604;1.9490995631016237;0.8807436218603732
frozenset({'K04361', 'K02669', 'K04172'});frozenset({'K04886A'});0.5425709515859767;0.671118530884808;0.5125208681135225;0.9446153846153844;1.4075239188672022;0.14839144818436956;5.938137636802056;0.6329560854989419
frozenset({'K04361', 'K02669', 'K04886A'});frozenset({'K04172'});0.5425709515859767;0.6460767946577629;0.5125208681135225;0.9446153846153844;1.4620791095209698;0.1619783668384424;6.390280096457035;0.6909103877885825
frozenset({'K02669', 'K04172'});frozenset({'K04361', 'K04886A'});0.5475792988313857;0.5442404006677797;0.5125208681135225;0.9359756097560974;1.719783405656142;0.2145060911201473;7.118530884807994;0.9250934528889261
frozenset({'K02669', 'K04886A'});frozenset({'K04361', 'K04172'});0.5492487479131887;0.5442404006677797;0.5125208681135225;0.9331306990881457;1.7145561004717769;0.21359750948297235;6.815677644559095;0.9245868017854986
frozenset({'K04361', 'K04172'});frozenset({'K02669', 'K04886A'});0.5442404006677797;0.5492487479131887;0.5125208681135225;0.9417177914110427;1.7145561004717769;0.21359750948297235;7.7339425358052605;0.9144265072603832
frozenset({'K04361', 'K04886A'});frozenset({'K02669', 'K04172'});0.5442404006677797;0.5475792988313857;0.5125208681135225;0.9417177914110427;1.7197834056561419;0.2145060911201473;7.762586767419354;0.9183162114758204
frozenset({'K04172'});frozenset({'K04361', 'K02669', 'K04886A'});0.6460767946577629;0.5425709515859767;0.5125208681135225;0.79328165374677;1.4620791095209698;0.1619783668384424;2.212813021702837;0.8929690861041112
frozenset({'K04886A'});frozenset({'K04361', 'K02669', 'K04172'});0.671118530884808;0.5425709515859767;0.5125208681135225;0.7636815920398009;1.4075239188672022;0.14839144818436956;1.9356471311835506;0.880355164602589
