Bauteil,Menge,Cluster,Frequenz,Jahr
K00218 (Ball bearing 626 2RS 14311223),33.0,2,"mittel (>12, <182)",2018
K03960 (Nilos-Ring; 6003 Z AV                   MM),35.0,2,"mittel (>12, <182)",2018
"K03964 (Motoreinheit, 230V; Vorwärmung                  MM)",259.0,3,hoch (> 182),2018
"K03989 (Regler; für Gebläse u. Heizung, Typ K)",12.0,2,"mittel (>12, <182)",2018
K03990 (connecting board; Type K),19.0,2,"mittel (>12, <182)",2018
K04089A (Extruderschnecke; MAE/K-36/40),0.0,1,niedrig (< 12),2018
K04110 (Geräteschalter MINI; ohne Drehzahlregelung),45.0,2,"mittel (>12, <182)",2018
"K04135 (Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM)",78.0,2,"mittel (>12, <182)",2018
"K03949 (Kohlebuerste 230V; BE 1020 , 0044, 1 VE=2Stück)",9.0,1,niedrig (< 12),2018
K04137 (Knickschutztülle 9-11; 5200 2020    MM),13.0,2,"mittel (>12, <182)",2018
"K04234 (Heating element, 2300W, 230V, MEG-23)",112.0,2,"mittel (>12, <182)",2018
K04258 (Frontfolie; Tasten für Regler MM),30.0,2,"mittel (>12, <182)",2018
K04259 (Frontfolie Display; für Regler  MM),51.0,2,"mittel (>12, <182)",2018
K04310 (Kabelsatz; MM-Xtruder),1.0,1,niedrig (< 12),2018
"K04318 (Heating complete, 230 V / 2300 W)",72.0,2,"mittel (>12, <182)",2018
K04361 (Rillenkugellager; 6003 2RS C3 FT150),254.0,3,hoch (> 182),2018
K04416 (Griffschale - links; Antrieb UX1),8.0,1,niedrig (< 12),2018
"K04232 (Elektronikeinheit; 230V, MEG-23)",172.0,2,"mittel (>12, <182)",2018
"K03938 (RI.KU.LA 8x 19x 6; BE 1020 , 0032)",7.0,1,niedrig (< 12),2018
"K03937 (Anker vollst. 230V (mit Tac); BE 1020 , 0031)",2.0,1,niedrig (< 12),2018
"K03923 (Rillenkugellager. 15x 32x 9; BE 1020 , 0016)",10.0,1,niedrig (< 12),2018
K03839 (Sicherungsring; A14),150.0,2,"mittel (>12, <182)",2018
K03846 (Nadelhülse; HK 0910),5.0,1,niedrig (< 12),2018
K03847 (Axiallagerscheibe; AS 0414),10.0,1,niedrig (< 12),2018
K03848 (Cable screw fitting; PG16),15.0,2,"mittel (>12, <182)",2018
K03849 (Axialnadelkranz; AXK 0414),5.0,1,niedrig (< 12),2018
K03850 (Nadelhülse; HK 1010),5.0,1,niedrig (< 12),2018
K03852 (Rillenkugellager; 6000-2BRS C3),205.0,3,hoch (> 182),2018
K03853 (Lagerkappe; WX2),1.0,1,niedrig (< 12),2018
K03879 (Extruderschnecke; MM),0.0,1,niedrig (< 12),2018
K03882B (Schmelzkammer; MM),10.0,1,niedrig (< 12),2018
K03883 (Nozzle 40-6                        MM),18.0,2,"mittel (>12, <182)",2018
K03889 (Heizspirale; 18x125                      MM),34.0,2,"mittel (>12, <182)",2018
K03890 (Drive unit; 40 / 42 MM),42.0,2,"mittel (>12, <182)",2018
K03894 (Axiallüfter; 40 x 40 x 25                MM),72.0,2,"mittel (>12, <182)",2018
"K03910 (Bohrspindel; BE 1020 , 0003; genutet)",4.0,1,niedrig (< 12),2018
"K03918 (Ritzelw. m. Rutschkup.; BE 1020 , 0011)",4.0,1,niedrig (< 12),2018
"K03920 (Getriebeflansch vollst.; BE 1020 , 0013)",1.0,1,niedrig (< 12),2018
K04417 (Griffschale - rechts; Antrieb UX1),7.0,1,niedrig (< 12),2018
K03836 (Antriebsspindel; WX2/UX1),8.0,1,niedrig (< 12),2018
"K04444 (Regler; Typ H, A-S-18.01, 230V)",29.0,2,"mittel (>12, <182)",2018
"K04510 (Düse; 40, MA/E-K-18-S, 4mm)",5.0,1,niedrig (< 12),2018
K05538 (Schneidkopf 18-9; MM),111.0,2,"mittel (>12, <182)",2018
K05539 (Einzugshülse V; MM),118.0,2,"mittel (>12, <182)",2018
K05540 (Einzugshülse V; MM),8.0,1,niedrig (< 12),2018
K05544 (Rillenkugellager;),77.0,2,"mittel (>12, <182)",2018
K05574 (Flansch;),66.0,2,"mittel (>12, <182)",2018
K05575 (Vorlegerad; 401357),21.0,2,"mittel (>12, <182)",2018
K05585 (Cover network;),1752.0,3,hoch (> 182),2018
K05492 (Frequency Converter complete;reconditioned),31.0,2,"mittel (>12, <182)",2018
K05674 (Housing cover; UX1),10.0,1,niedrig (< 12),2018
K05766 (Motorgehäuse komplett; WX2Mu),1.0,1,niedrig (< 12),2018
"K05924 (Reparatur, Regler; für Gebläse u. Heizung, Typ K)",36.0,2,"mittel (>12, <182)",2018
K06058 (Lüfterabdeckung mit Filter ;  MM),70.0,2,"mittel (>12, <182)",2018
K06725 (Extruder screw MM),28.0,2,"mittel (>12, <182)",2018
K06766 (Gleichrichter Powerbox),17.0,2,"mittel (>12, <182)",2018
K06773 (Öl; 100ml),6.0,1,niedrig (< 12),2018
K06972 (Rillenkugellager + Lagerhülse; montiert),108.0,2,"mittel (>12, <182)",2018
K05682 (Cover network;),751.0,3,hoch (> 182),2018
"K05442 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",36.0,2,"mittel (>12, <182)",2018
K05406 (Kurzschlussverbindung),3.0,1,niedrig (< 12),2018
K05377 (Federdrahtbügel; für Kabelbaum FU),3.0,1,niedrig (< 12),2018
K04719 (Schaltgehäuse-Unterteil; Schwarz mit feiner Struktur MM),14.0,2,"mittel (>12, <182)",2018
K04737 (Rubber connector),266.0,3,hoch (> 182),2018
"K04785 (Kabelklammer, Polyethylen; Größe 4)",250.0,3,hoch (> 182),2018
K04808B (Temperature control 230 V / 250W   MM),20.0,2,"mittel (>12, <182)",2018
K04814 (Knob cover; black),11.0,1,niedrig (< 12),2018
K04886A (Kohlebürste UX1; 2412),348.0,3,hoch (> 182),2018
K04945 (Lüftereinheit Antrieb; vormontiert),103.0,2,"mittel (>12, <182)",2018
"K04946 (Fan guard, controller  MM)",21.0,2,"mittel (>12, <182)",2018
K05111 (Geräteschalter UX1; ohne Drehzahlregelung),6.0,1,niedrig (< 12),2018
K05131 (Anker UX1 230V),90.0,2,"mittel (>12, <182)",2018
K05148 (Vorlegerad;UX1),35.0,2,"mittel (>12, <182)",2018
K05150 (Vorlegewelle; WX2/UX1),3.0,1,niedrig (< 12),2018
K05151 (Zwischendeckel; UX1),3.0,1,niedrig (< 12),2018
K05154 (Field coil UX1 230V),3.0,1,niedrig (< 12),2018
K05160 (Kabelbaum; UX1),7.0,1,niedrig (< 12),2018
K05202 (Controller MM; Repair),68.0,2,"mittel (>12, <182)",2018
K05238 (Rillenkugellager),6.0,1,niedrig (< 12),2018
"K04509 (Düse; 30, MA/E-K-18/25, 3mm)",21.0,2,"mittel (>12, <182)",2018
K03832 (Rillenkugellager; 608 BRS),304.0,3,hoch (> 182),2018
K04172 (Öl; 80ml),275.0,3,hoch (> 182),2018
"K03769 (Motorgehäuse 301500_UX1; Antrieb DB, UX1)",17.0,2,"mittel (>12, <182)",2018
"K02355 (Kohlebürste; EBM13/EBL21SKE, 6,4x16x18)",16.0,2,"mittel (>12, <182)",2018
K02381 (Rillenkugellager; 6200),6.0,1,niedrig (< 12),2018
K02383A (Wellendichtring; 30x42x7 - BA),6.0,1,niedrig (< 12),2018
K02385 (Antriebsspindel; EBM13),2.0,1,niedrig (< 12),2018
K02389 (Flansch; EBM13),1.0,1,niedrig (< 12),2018
K02392 (Sicherungsring; A18),6.0,1,niedrig (< 12),2018
K02399 (Rillenkugellager; 6001),7.0,1,niedrig (< 12),2018
K02300 (Heating element 32A1 for Elect; 230 Volt 3300 Watt),1.0,1,niedrig (< 12),2018
"K02401 (O-Ring; 75,87 x 2,62)",6.0,1,niedrig (< 12),2018
K02435 (Geräteschalter; EBM13/WX2),12.0,2,"mittel (>12, <182)",2018
"K02440 (Anker gew. mit Lüfter; EBM13, 230V)",1.0,1,niedrig (< 12),2018
K02441 (Rillenkugellager; 7 x 22 x 7;),6.0,1,niedrig (< 12),2018
K02444 (Wellendichtring; 14 x 28 x 7),6.0,1,niedrig (< 12),2018
K02500 (Turbine housing upper part; complete; 107763),3.0,1,niedrig (< 12),2018
K02502 (Thermocouple for electron; without electronic),8.0,1,niedrig (< 12),2018
K02504 (Relay for hot-air blower; Electron without electronic),7.0,1,niedrig (< 12),2018
K02432 (Blind cover EBM13 800134),17.0,2,"mittel (>12, <182)",2018
"K02278 (Schaltgehäuse-Deckel; S/R, MA/E-60,40,25,G50 230/400)",14.0,2,"mittel (>12, <182)",2018
K02125 (Kompressionsdüse; MA/E-60),6.0,1,niedrig (< 12),2018
K01989 (Ball bearing 61905-2RS1),20.0,2,"mittel (>12, <182)",2018
K00438 (Temperaturendschalter 135°C; 5825 (Klixon)),0.0,1,niedrig (< 12),2018
K00474 (Heizelement 32.1; 230 Volt 2200 Watt),2.0,1,niedrig (< 12),2018
K00511 (Samicanite tube 5667),1.0,1,niedrig (< 12),2018
"K00519 (Motor (high-speed) 230 Volt 230 Volt, 5701)",14.0,2,"mittel (>12, <182)",2018
K00537 (Axial ball bearing 51105),27.0,2,"mittel (>12, <182)",2018
K00610 (Gleitlager; 6 x 12 x 8),16.0,2,"mittel (>12, <182)",2018
K00627 (Gleitlager; 8 x 12 x 8),16.0,2,"mittel (>12, <182)",2018
K00652 (Bundlager; 16 x 22 x 28 x 3 x 12),15.0,2,"mittel (>12, <182)",2018
