Zeitraum;Typ;Artikelnummer;Artikelname;Bauteilnummer;Bauteilname;Bauteilabhaengigkeiten Nummer;Bauteilabhaengigkeiten Name;Prozentualer Anteil [%]
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K04110;"Geräteschalter MINI; ohne Drehzahlregelung";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";82
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K04110;"Geräteschalter MINI; ohne Drehzahlregelung";K02669;"Axialrillenkugellager; 51203";65
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K04110;"Geräteschalter MINI; ohne Drehzahlregelung";K04361;"Rillenkugellager; 6003 2RS C3 FT150";66
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04110;"Geräteschalter MINI; ohne Drehzahlregelung";82
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K05538;"Schneidkopf 18-9; MM";84
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K05539;"Einzugshülse V; MM";86
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04945;"Lüftereinheit Antrieb; vormontiert";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03894;"Axiallüfter; 40 x 40 x 25                MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K06058;"Lüfterabdeckung mit Filter ;  MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04135;"Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM";82
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K02669;"Axialrillenkugellager; 51203";86
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04361;"Rillenkugellager; 6003 2RS C3 FT150";86
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K06725;Extruder screw MM;82
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04737;Rubber connector;81
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03890;"Drive unit; 40 / 42 MM";80
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K05202;"Controller MM; Repair";84
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03960;"Nilos-Ring; 6003 Z AV                   MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04137;"Knickschutztülle 9-11; 5200 2020    MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03482;"Senkschraube; DIN 7991, M 4 x  12";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04946;Fan guard, controller  MM;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03882B;"Schmelzkammer; MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03883;Nozzle 40-6                        MM;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04808B;Temperature control 230 V / 250W   MM;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03889;"Heizspirale; 18x125                      MM";80
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03892;"Griffschale - links; Spritzgussteil         MM";81
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04407;"Schweißschuhhalter MM; 32 x 15";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K06761;"Aufkleber; Abkühlzeit Deutsch-Englisch";80
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04457;Schweißschuh MM, 67.01xx, m Halter,  Ø32 x Ø20 x 36 mm unbearb.;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04318;Heating complete, 230 V / 2300 W;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K05999;Circlip A   17 x 1;82
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K01540;Lead wire 230 V 3G1,5                  Pico;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03893;"Griffschale - rechts; Spritzgussteil              MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04259;"Frontfolie Display; für Regler  MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K07286;"Halter-Motorlüfter; MM, 30mm";81
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K07287;"Runddichtring; 55  x 3";81
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K03421;"Schweißdrahtrollen-Abwickler; Einfach, für 3kg Spule";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04258;"Frontfolie; Tasten für Regler MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K02698;"Distanzring; 17/3           MA/E-25 u. 25-S / MAK-18";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K04200;"Warmlufthaube; MM-Xtruder          MAK18S;  MM";79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K05258;Werkzeug-Set;79
01.06.2017-31.12.2021;MM;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";K03964;"Motoreinheit, 230V; Vorwärmung                  MM";K05344;"Schweißschuh MM; 67.0107K-32-20-M";79
