Startdatum,Enddatum,Typ,Artikelnummer,Artikelname,Anzahl_der_Serviceaufträge,Gesamte_Arbeitstage_zwischen_datum_waein_wausgang,Arbeitstage_zwischen_datum_waein_wausgang_pro_Serviceauftrag,Arbeitstage_zwischen_datum_repstart_repend_pro_Serviceauftrag,Arbeitstage_zwischen_datum_waein_repstart_pro_Serviceauftrag,Arbeitstage_zwischen_datum_repstart_repkv_pro_Serviceauftrag,Arbeitstage_zwischen_datum_repkv_kv_pro_Serviceauftrag,Arbeitstage_zwischen_datum_kv_auftrag_pro_Serviceauftrag,Arbeitstage_zwischen_datum_auftrag_repend_pro_Serviceauftrag,Arbeitstage_zwischen_datum_repend_wausgang_pro_Serviceauftrag
01.01.2017,31.12.2021,MAK-18,K04676,"Extruderschweiﬂger‰t; MAK-18, 230 V, mN",400,2750,6.88,4.37,1.17,0.24,0.18,2.7,1.31,1.33
01.01.2017,31.12.2021,MAK-18,K04678,"Extruderschweiﬂger‰t; MEK-18, 230 V, mN",34,362,10.65,7.47,1.29,0.06,0.09,4.71,2.62,1.88
01.01.2017,31.12.2021,MAK-18,K04676A,"Extruderschweiﬂger‰t; MAK-18, 230 V, mN, dGr",186,1070,5.75,3.54,1.11,0.24,0.11,2.31,0.88,1.1
01.01.2017,31.12.2021,MAK-18,K04882,"Extruderschweiﬂger‰t; MAK-18, 230 V, mN, HB",1,6,6.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0
01.01.2017,31.12.2021,MAK-18,K06582A,"Extruderschweiﬂger‰t; MAK-18, 230 V, KR, dGr",31,147,4.74,2.94,0.77,0.16,0.29,1.61,0.87,1.03
01.01.2017,31.12.2021,MAK-18,K05198,"Extruderschweiﬂger‰t; MEK-18-eS, 230 V, mN",11,69,6.27,3.91,1.27,0.27,0.09,1.73,1.82,1.09
01.01.2017,31.12.2021,MAK-18,K04678A,"Extruderschweiﬂger‰t; MEK-18, 230 V, mN, dGr",11,141,12.82,9.09,0.73,0.18,0.18,8.36,0.36,3.0
01.01.2017,31.12.2021,MAK-18,K06582,"Extruderschweiﬂger‰t; MAK-18, 230 V, KR",5,25,5.0,3.4,0.8,0.0,0.0,2.6,0.8,0.8
01.01.2017,31.12.2021,MAK-18,K06846A,"Extruderschweiﬂger‰t; MEK-18-Ls-eS-IP, 230 V, mN, dGr",5,26,5.2,4.0,0.2,0.6,0.0,2.4,1.0,1.0
01.01.2017,31.12.2021,MAK-18,K07335,"Extruderschweiﬂger‰t; MAK-18, 230 V, mN, dGr, Pu",8,81,10.12,7.38,1.62,0.12,0.0,7.0,0.25,1.12
01.01.2017,31.12.2021,MAK-18,K06846,"Extruderschweiﬂger‰t; MEK-18-Ls-eS-IP, 230 V, mN",3,28,9.33,7.0,1.33,0.33,0.0,6.0,0.67,1.0
01.01.2017,31.12.2021,MAK-18,K04677A,"Extruderschweiﬂger‰t; MAK-18, 120 V, mN, dGr",1,9,9.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0
